@@SEQUENCEID	BINID	LENGTH
RL|S1|C0	6
RL|S1|C1	14
RL|S1|C2	14
RL|S1|C3	13
RL|S1|C4	5
RL|S1|C5	5
RL|S1|C6	14
RL|S1|C7	6
RL|S1|C8	5
RL|S1|C9	30
RL|S1|C10	6
RL|S1|C11	14
RL|S1|C12	59
RL|S1|C13	22
RL|S1|C14	13
RL|S1|C15	5
RL|S1|C16	5
RL|S1|C17	6
RL|S1|C18	13
RL|S1|C19	14
RL|S1|C20	5
RL|S1|C21	14
RL|S1|C22	6
RL|S1|C23	6
RL|S1|C24	14
RL|S1|C25	6
RL|S1|C26	46
RL|S1|C27	14
RL|S1|C28	7
RL|S1|C29	46
RL|S1|C30	14
RL|S1|C31	14
RL|S1|C32	14
RL|S1|C33	5
RL|S1|C34	5
RL|S1|C35	6
RL|S1|C36	5
RL|S1|C37	14
RL|S1|C38	5
RL|S1|C39	14
RL|S1|C40	14
RL|S1|C41	13
RL|S1|C42	6
RL|S1|C43	5
RL|S1|C44	6
RL|S1|C45	5
RL|S1|C46	5
RL|S1|C47	52
RL|S1|C48	6
RL|S1|C49	13
RL|S1|C50	0
RL|S1|C51	13
RL|S1|C52	5
RL|S1|C53	14
RL|S1|C54	46
RL|S1|C55	13
RL|S1|C56	13
RL|S1|C57	5
RL|S1|C58	6
RL|S1|C59	37
RL|S1|C60	28
RL|S1|C61	6
RL|S1|C62	14
RL|S1|C63	13
RL|S1|C64	57
RL|S1|C65	13
RL|S1|C66	14
RL|S1|C67	14
RL|S1|C68	6
RL|S1|C69	5
RL|S1|C70	14
RL|S1|C71	20
RL|S1|C72	13
RL|S1|C73	37
RL|S1|C74	13
RL|S1|C75	5
RL|S1|C76	22
RL|S1|C77	14
RL|S1|C78	13
RL|S1|C79	5
RL|S1|C80	5
RL|S1|C81	14
RL|S1|C82	6
RL|S1|C83	13
RL|S1|C84	5
RL|S1|C85	13
RL|S1|C86	5
RL|S1|C87	13
RL|S1|C88	6
RL|S1|C89	6
RL|S1|C90	6
RL|S1|C91	6
RL|S1|C92	13
RL|S1|C93	13
RL|S1|C94	14
RL|S1|C95	14
RL|S1|C96	5
RL|S1|C97	20
RL|S1|C98	37
RL|S1|C99	14
RL|S1|C100	14
RL|S1|C101	14
RL|S1|C102	14
